po,pi,rel
n67,n18,P
n68,n18,P
n204,n18,P
n250,n18,P
n269,n18,P
n306,n18,P
n362,n18,P
n420,n18,P
n465,n18,P
n467,n18,P
n485,n18,P
n584,n18,I
n589,n18,P
n607,n18,P
n663,n18,P
n698,n18,P
n705,n18,P
n803,n18,P
n1017,n18,P
n1024,n18,P
n1086,n18,P
n1168,n18,I
n1208,n18,P
n1219,n18,P
n1317,n18,P
n1341,n18,P
n1404,n18,P
n1421,n18,I
n1435,n18,P
n1486,n18,P
n1660,n18,P
n1779,n18,P
n1794,n18,P
n1803,n18,P
n1839,n18,P
n1857,n18,I
n1860,n18,P
n2023,n18,P
n2171,n18,P
n2302,n18,P
n2439,n18,P
n2511,n18,P
n2598,n18,P
n2631,n18,P
n2641,n18,P
n2716,n18,P
n2774,n18,P
n2821,n18,P
n2856,n18,P
n3070,n18,P
n3090,n18,P
n3245,n18,P
n3282,n18,P
n3283,n18,P
n3385,n18,P
n3412,n18,P
n3430,n18,P
n3455,n18,P
n3470,n18,N
n3496,n18,P
n3587,n18,P
n3609,n18,P
n3626,n18,P
n3656,n18,P
n3657,n18,P
n3711,n18,P
n3757,n18,P
n3892,n18,P
n3923,n18,P
n3949,n18,P
n3982,n18,P
n4079,n18,P
n4114,n18,P
n4192,n18,P
n4223,n18,P
n4237,n18,P
n4274,n18,P
n4349,n18,P
n4410,n18,P
n4544,n18,P
n4690,n18,P
n4702,n18,P
n4706,n18,P
n4762,n18,P
n4783,n18,P
n4799,n18,P
n4800,n18,I
n4826,n18,P
n4860,n18,P
n4875,n18,P
n4884,n18,P
n4895,n18,P
n4904,n18,P
n4972,n18,P
n4991,n18,P
n4996,n18,P
n5007,n18,P
n5038,n18,P
n5098,n18,P
n5251,n18,P
n5326,n18,P
n5334,n18,P
n5394,n18,P
n5401,n18,P
n5402,n18,P
n5447,n18,P
n5456,n18,N
n5509,n18,I
n5511,n18,P
n5520,n18,P
n5535,n18,P
n5547,n18,P
n5567,n18,P
n5639,n18,P
n5647,n18,P
n5664,n18,P
n5743,n18,P
n5774,n18,P
n5804,n18,P
n5871,n18,P
n5902,n18,P
n5934,n18,P
n5954,n18,P
n6025,n18,P
n6076,n18,P
n6134,n18,P
n6187,n18,P
n6287,n18,P
n6291,n18,P
n67,n25,N
n68,n25,N
n204,n25,N
n250,n25,N
n269,n25,N
n306,n25,N
n362,n25,N
n420,n25,N
n465,n25,N
n467,n25,N
n485,n25,N
n584,n25,I
n589,n25,N
n607,n25,N
n663,n25,N
n698,n25,N
n705,n25,N
n803,n25,N
n1017,n25,N
n1024,n25,N
n1086,n25,N
n1168,n25,I
n1208,n25,N
n1219,n25,N
n1317,n25,N
n1341,n25,N
n1404,n25,N
n1421,n25,I
n1435,n25,N
n1486,n25,N
n1660,n25,N
n1779,n25,N
n1794,n25,N
n1803,n25,N
n1839,n25,N
n1857,n25,I
n1860,n25,N
n2023,n25,N
n2171,n25,N
n2302,n25,N
n2439,n25,N
n2511,n25,N
n2598,n25,N
n2631,n25,N
n2641,n25,N
n2716,n25,N
n2774,n25,N
n2821,n25,N
n2856,n25,N
n3070,n25,N
n3090,n25,N
n3245,n25,N
n3282,n25,N
n3283,n25,N
n3385,n25,N
n3412,n25,N
n3430,n25,N
n3455,n25,N
n3470,n25,I
n3496,n25,N
n3587,n25,N
n3609,n25,N
n3626,n25,N
n3656,n25,N
n3657,n25,N
n3711,n25,N
n3757,n25,N
n3892,n25,N
n3923,n25,N
n3949,n25,N
n3982,n25,N
n4079,n25,N
n4114,n25,N
n4192,n25,N
n4223,n25,N
n4237,n25,N
n4274,n25,N
n4349,n25,N
n4410,n25,N
n4544,n25,N
n4690,n25,N
n4702,n25,N
n4706,n25,N
n4762,n25,N
n4783,n25,N
n4799,n25,N
n4800,n25,I
n4826,n25,N
n4860,n25,N
n4875,n25,N
n4884,n25,N
n4895,n25,N
n4904,n25,N
n4972,n25,N
n4991,n25,N
n4996,n25,N
n5007,n25,N
n5038,n25,N
n5098,n25,N
n5251,n25,N
n5326,n25,N
n5334,n25,N
n5394,n25,N
n5401,n25,N
n5402,n25,N
n5447,n25,N
n5456,n25,N
n5509,n25,I
n5511,n25,N
n5520,n25,N
n5535,n25,N
n5547,n25,N
n5567,n25,N
n5639,n25,N
n5647,n25,N
n5664,n25,N
n5743,n25,N
n5774,n25,N
n5804,n25,N
n5871,n25,N
n5902,n25,N
n5934,n25,N
n5954,n25,N
n6025,n25,N
n6076,n25,N
n6134,n25,N
n6187,n25,N
n6287,n25,N
n6291,n25,N
n67,n30,N
n68,n30,N
n204,n30,N
n250,n30,N
n269,n30,N
n306,n30,N
n362,n30,N
n420,n30,N
n465,n30,N
n467,n30,N
n485,n30,N
n584,n30,I
n589,n30,N
n607,n30,N
n663,n30,N
n698,n30,N
n705,n30,N
n803,n30,N
n1017,n30,N
n1024,n30,N
n1086,n30,N
n1168,n30,I
n1208,n30,N
n1219,n30,N
n1317,n30,N
n1341,n30,N
n1404,n30,N
n1421,n30,I
n1435,n30,N
n1486,n30,N
n1660,n30,N
n1779,n30,N
n1794,n30,N
n1803,n30,N
n1839,n30,N
n1857,n30,I
n1860,n30,N
n2023,n30,N
n2171,n30,N
n2302,n30,N
n2439,n30,N
n2511,n30,N
n2598,n30,N
n2631,n30,N
n2641,n30,N
n2716,n30,N
n2774,n30,N
n2821,n30,N
n2856,n30,N
n3070,n30,N
n3090,n30,N
n3245,n30,N
n3282,n30,N
n3283,n30,N
n3385,n30,N
n3412,n30,N
n3430,n30,N
n3455,n30,N
n3470,n30,I
n3496,n30,N
n3587,n30,N
n3609,n30,N
n3626,n30,N
n3656,n30,N
n3657,n30,N
n3711,n30,N
n3757,n30,N
n3892,n30,N
n3923,n30,N
n3949,n30,N
n3982,n30,N
n4079,n30,N
n4114,n30,N
n4192,n30,N
n4223,n30,N
n4237,n30,N
n4274,n30,N
n4349,n30,N
n4410,n30,N
n4544,n30,N
n4690,n30,N
n4702,n30,N
n4706,n30,N
n4762,n30,N
n4783,n30,N
n4799,n30,N
n4800,n30,I
n4826,n30,N
n4860,n30,N
n4875,n30,N
n4884,n30,N
n4895,n30,N
n4904,n30,N
n4972,n30,N
n4991,n30,N
n4996,n30,N
n5007,n30,N
n5038,n30,N
n5098,n30,N
n5251,n30,N
n5326,n30,N
n5334,n30,N
n5394,n30,N
n5401,n30,N
n5402,n30,N
