po,pi,rel
n19,n14,I
n33,n14,I
n44,n14,I
n55,n14,I
n56,n14,I
n67,n14,I
n74,n14,I
n106,n14,I
n126,n14,I
n135,n14,I
n145,n14,I
n156,n14,I
n174,n14,I
n181,n14,I
n208,n14,I
n216,n14,I
n218,n14,I
n231,n14,I
n238,n14,I
n270,n14,I
n276,n14,I
n290,n14,I
n292,n14,I
n299,n14,I
n317,n14,I
n372,n14,I
n378,n14,I
n387,n14,I
n401,n14,I
n416,n14,I
n423,n14,I
n426,n14,I
n429,n14,I
n432,n14,I
n452,n14,I
n457,n14,I
n460,n14,I
n476,n14,I
n482,n14,I
n488,n14,I
n493,n14,I
n510,n14,I
n517,n14,I
n522,n14,I
n532,n14,I
n534,n14,I
n541,n14,I
n547,n14,I
n549,n14,I
n559,n14,I
n569,n14,I
n573,n14,I
n588,n14,I
n599,n14,I
n627,n14,I
n638,n14,I
n643,n14,I
n646,n14,I
n647,n14,I
n648,n14,I
n665,n14,I
n683,n14,I
n699,n14,I
n712,n14,I
n715,n14,I
n724,n14,I
n725,n14,I
n731,n14,I
n748,n14,I
n759,n14,I
n770,n14,I
n773,n14,I
n790,n14,I
n792,n14,I
n813,n14,I
n823,n14,I
n824,n14,I
n836,n14,I
n846,n14,I
n858,n14,I
n865,n14,I
n867,n14,I
n883,n14,I
n888,n14,I
n891,n14,I
n892,n14,I
n902,n14,I
n905,n14,I
n912,n14,I
n935,n14,I
n942,n14,I
n944,n14,I
n974,n14,I
n979,n14,I
n980,n14,I
n989,n14,I
n991,n14,I
n1005,n14,I
n1012,n14,I
n1015,n14,I
n1016,n14,I
n1025,n14,I
n1030,n14,I
n1067,n14,I
n1068,n14,I
n1103,n14,I
n1113,n14,I
n1119,n14,I
n1135,n14,I
n1138,n14,I
n1142,n14,I
n1149,n14,I
n1161,n14,I
n1162,n14,I
n1175,n14,I
n1183,n14,I
n1191,n14,I
n1194,n14,I
n1199,n14,I
n1201,n14,I
n1202,n14,I
n1234,n14,I
n1235,n14,I
n1237,n14,I
n1249,n14,I
n1255,n14,I
n1260,n14,I
n1277,n14,I
n1278,n14,I
n1283,n14,I
n1305,n14,I
n1315,n14,I
n1330,n14,I
n1338,n14,I
n1340,n14,I
n1347,n14,I
n1348,n14,I
n1349,n14,I
n1369,n14,I
n1383,n14,I
n1385,n14,I
n1393,n14,I
n1399,n14,I
n1407,n14,I
n1425,n14,I
n1426,n14,I
n1440,n14,I
n1453,n14,I
n1457,n14,I
n1460,n14,I
n1463,n14,I
n1470,n14,I
n1481,n14,I
n1495,n14,I
n1498,n14,I
n1502,n14,I
n1507,n14,I
n1525,n14,I
n1535,n14,I
n1556,n14,I
n1595,n14,I
n1600,n14,I
n1601,n14,I
n1613,n14,I
n1629,n14,I
n1633,n14,I
n1635,n14,I
n1654,n14,I
n1657,n14,I
n1660,n14,I
n1675,n14,I
n1677,n14,I
n1683,n14,I
n1686,n14,I
n1688,n14,I
n1690,n14,I
n1721,n14,I
n1727,n14,I
n1729,n14,I
n1731,n14,I
n1737,n14,I
n1746,n14,I
n19,n17,I
n33,n17,I
n44,n17,I
n55,n17,I
n56,n17,I
n67,n17,I
n74,n17,I
n106,n17,I
n126,n17,I
n135,n17,I
n145,n17,I
n156,n17,I
n174,n17,I
n181,n17,I
n208,n17,I
n216,n17,B
n218,n17,I
n231,n17,I
n238,n17,B
n270,n17,I
n276,n17,I
n290,n17,I
n292,n17,I
n299,n17,N
n317,n17,I
n372,n17,I
n378,n17,I
n387,n17,I
n401,n17,I
n416,n17,I
n423,n17,I
n426,n17,I
n429,n17,I
n432,n17,I
n452,n17,I
n457,n17,I
n460,n17,B
n476,n17,I
n482,n17,I
n488,n17,I
n493,n17,I
n510,n17,I
n517,n17,I
n522,n17,I
n532,n17,I
n534,n17,I
n541,n17,I
n547,n17,I
n549,n17,I
n559,n17,I
n569,n17,I
n573,n17,I
n588,n17,I
n599,n17,I
n627,n17,I
n638,n17,B
n643,n17,I
n646,n17,I
n647,n17,I
n648,n17,I
n665,n17,I
n683,n17,B
n699,n17,I
n712,n17,I
n715,n17,I
n724,n17,I
n725,n17,I
n731,n17,I
n748,n17,I
n759,n17,I
n770,n17,I
n773,n17,I
n790,n17,I
n792,n17,I
n813,n17,I
n823,n17,I
n824,n17,I
n836,n17,I
n846,n17,I
n858,n17,I
n865,n17,I
n867,n17,I
n883,n17,I
n888,n17,I
n891,n17,I
n892,n17,I
n902,n17,I
n905,n17,I
n912,n17,I
n935,n17,I
n942,n17,I
n944,n17,B
n974,n17,I
n979,n17,I
n980,n17,I
n989,n17,I
n991,n17,I
n1005,n17,I
n1012,n17,I
n1015,n17,I
n1016,n17,I
n1025,n17,I
n1030,n17,I
n1067,n17,I
n1068,n17,I
n1103,n17,I
n1113,n17,I
n1119,n17,I
n1135,n17,I
n1138,n17,I
n1142,n17,I
n1149,n17,I
n1161,n17,I
n1162,n17,I
n1175,n17,I
n1183,n17,I
n1191,n17,I
n1194,n17,I
n1199,n17,I
n1201,n17,I
n1202,n17,I
n1234,n17,I
n1235,n17,I
n1237,n17,I
n1249,n17,I
n1255,n17,I
n1260,n17,B
n1277,n17,I
n1278,n17,I
n1283,n17,I
n1305,n17,I
n1315,n17,I
n1330,n17,I
n1338,n17,I
n1340,n17,I
n1347,n17,I
n1348,n17,I
n1349,n17,I
n1369,n17,I
n1383,n17,I
n1385,n17,I
n1393,n17,I
n1399,n17,I
n1407,n17,I
n1425,n17,I
n1426,n17,I
n1440,n17,I
n1453,n17,I
n1457,n17,I
n1460,n17,I
n1463,n17,I
n1470,n17,I
n1481,n17,I
n1495,n17,I
n1498,n17,I
n1502,n17,I
n1507,n17,I
n1525,n17,I
n1535,n17,I
n1556,n17,I
n1595,n17,I
n1600,n17,I
n1601,n17,I
n1613,n17,I
n1629,n17,I
n1633,n17,I
n1635,n17,I
n1654,n17,I
n1657,n17,I
n1660,n17,I
n1675,n17,I
n1677,n17,I
n1683,n17,I
n1686,n17,I
n1688,n17,I
n1690,n17,I
n1721,n17,I
n1727,n17,I
n1729,n17,I
n1731,n17,I
n1737,n17,I
n1746,n17,I
n19,n26,B
n33,n26,I
n44,n26,B
n55,n26,I
n56,n26,B
n67,n26,B
n74,n26,I
n106,n26,B
n126,n26,B
n135,n26,I
n145,n26,B
n156,n26,B
n174,n26,I
n181,n26,I
n208,n26,I
n216,n26,I
n218,n26,I
n231,n26,B
n238,n26,B
n270,n26,I
n276,n26,I
n290,n26,I
n292,n26,I
n299,n26,I
n317,n26,B
n372,n26,I
n378,n26,I
n387,n26,P
n401,n26,B
n416,n26,I
n423,n26,I
n426,n26,I
n429,n26,B
n432,n26,I
n452,n26,I
n457,n26,I
n460,n26,B
n476,n26,I
n482,n26,I
n488,n26,I
n493,n26,B
n510,n26,B
n517,n26,B
n522,n26,B
n532,n26,I
n534,n26,I
n541,n26,I
n547,n26,I
n549,n26,I
n559,n26,B
n569,n26,I
n573,n26,I
n588,n26,B
n599,n26,I
n627,n26,I
n638,n26,B
n643,n26,N
n646,n26,I
n647,n26,I
n648,n26,I
n665,n26,I
n683,n26,B
n699,n26,N
n712,n26,I
n715,n26,I
n724,n26,B
n725,n26,I
n731,n26,B
n748,n26,B
n759,n26,B
n770,n26,I
n773,n26,I
n790,n26,I
