po,pi,rel
n6,n2,I
n9,n2,B
n42,n2,B
n48,n2,B
n56,n2,B
n65,n2,B
n68,n2,B
n77,n2,B
n6,n4,I
n9,n4,I
n42,n4,I
n48,n4,B
n56,n4,B
n65,n4,B
n68,n4,B
n77,n4,B
n6,n12,B
n9,n12,B
n42,n12,B
n48,n12,I
n56,n12,B
n65,n12,B
n68,n12,I
n77,n12,I
n6,n18,I
n9,n18,B
n42,n18,B
n48,n18,P
n56,n18,B
n65,n18,B
n68,n18,N
n77,n18,P
n6,n22,B
n9,n22,B
n42,n22,B
n48,n22,P
n56,n22,B
n65,n22,B
n68,n22,N
n77,n22,P
n6,n34,I
n9,n34,B
n42,n34,I
n48,n34,P
n56,n34,B
n65,n34,B
n68,n34,N
n77,n34,P
n6,n35,I
n9,n35,I
n42,n35,I
n48,n35,P
n56,n35,B
n65,n35,B
n68,n35,N
n77,n35,P
n6,n51,B
n9,n51,B
n42,n51,B
n48,n51,I
n56,n51,B
n65,n51,B
n68,n51,P
n77,n51,I
n6,n57,I
n9,n57,B
n42,n57,I
n48,n57,B
n56,n57,B
n65,n57,B
n68,n57,B
n77,n57,B
n6,n67,B
n9,n67,B
n42,n67,B
n48,n67,B
n56,n67,B
n65,n67,B
n68,n67,B
n77,n67,B
n6,n72,B
n9,n72,B
n42,n72,B
n48,n72,P
n56,n72,B
n65,n72,B
n68,n72,N
n77,n72,I
n6,n75,B
n9,n75,B
n42,n75,B
n48,n75,P
n56,n75,B
n65,n75,B
n68,n75,N
n77,n75,I
n6,n78,B
n9,n78,B
n42,n78,B
n48,n78,P
n56,n78,B
n65,n78,B
n68,n78,N
n77,n78,P
n6,n80,B
n9,n80,B
n42,n80,B
n48,n80,P
n56,n80,B
n65,n80,B
n68,n80,N
n77,n80,P
