po,pi,rel
n29,n0,I
n34,n0,I
n60,n0,I
n81,n0,B
n82,n0,I
n88,n0,I
n90,n0,I
n91,n0,I
n112,n0,I
n129,n0,B
n130,n0,I
n135,n0,I
n150,n0,B
n159,n0,I
n167,n0,B
n168,n0,I
n175,n0,I
n185,n0,I
n190,n0,B
n193,n0,I
n204,n0,B
n206,n0,B
n207,n0,I
n218,n0,B
n223,n0,I
n227,n0,I
n228,n0,I
n229,n0,B
n240,n0,I
n275,n0,I
n299,n0,N
n307,n0,I
n342,n0,N
n347,n0,I
n374,n0,I
n383,n0,I
n389,n0,B
n408,n0,I
n409,n0,B
n410,n0,I
n415,n0,I
n432,n0,I
n452,n0,I
n456,n0,I
n492,n0,I
n516,n0,I
n554,n0,I
n580,n0,I
n592,n0,I
n598,n0,I
n607,n0,B
n608,n0,I
n613,n0,I
n617,n0,I
n621,n0,I
n623,n0,I
n627,n0,B
n638,n0,I
n651,n0,I
n653,n0,B
n662,n0,I
n679,n0,P
n683,n0,I
n707,n0,B
n710,n0,I
n718,n0,I
n723,n0,I
n733,n0,B
n734,n0,I
n747,n0,B
n779,n0,B
n785,n0,B
n801,n0,P
n807,n0,I
n808,n0,I
n817,n0,I
n835,n0,I
n842,n0,I
n853,n0,I
n854,n0,I
n877,n0,P
n905,n0,B
n908,n0,P
n927,n0,B
n962,n0,I
n966,n0,I
n973,n0,I
n999,n0,I
n1023,n0,I
n1027,n0,I
n1057,n0,I
n1059,n0,I
n1061,n0,I
n1085,n0,I
n1099,n0,B
n1150,n0,B
n1153,n0,I
n1178,n0,I
n1184,n0,I
n1194,n0,I
n1202,n0,B
n1206,n0,I
n1232,n0,I
n1239,n0,I
n1259,n0,I
n1264,n0,I
n1288,n0,I
n1301,n0,I
n29,n21,I
n34,n21,I
n60,n21,I
n81,n21,I
n82,n21,I
n88,n21,I
n90,n21,I
n91,n21,I
n112,n21,I
n129,n21,I
n130,n21,I
n135,n21,I
n150,n21,I
n159,n21,I
n167,n21,I
n168,n21,I
n175,n21,I
n185,n21,I
n190,n21,I
n193,n21,I
n204,n21,I
n206,n21,I
n207,n21,I
n218,n21,I
n223,n21,I
n227,n21,I
n228,n21,I
n229,n21,I
n240,n21,I
n275,n21,I
n299,n21,I
n307,n21,I
n342,n21,I
n347,n21,I
n374,n21,I
n383,n21,I
n389,n21,I
n408,n21,I
n409,n21,I
n410,n21,I
n415,n21,I
n432,n21,I
n452,n21,I
n456,n21,I
n492,n21,I
n516,n21,I
n554,n21,I
n580,n21,I
n592,n21,I
n598,n21,I
n607,n21,I
n608,n21,I
n613,n21,I
n617,n21,I
n621,n21,I
n623,n21,I
n627,n21,I
n638,n21,I
n651,n21,I
n653,n21,I
n662,n21,I
n679,n21,I
n683,n21,I
n707,n21,I
n710,n21,I
n718,n21,I
n723,n21,I
n733,n21,I
n734,n21,I
n747,n21,I
n779,n21,I
n785,n21,I
n801,n21,I
n807,n21,I
n808,n21,I
n817,n21,I
n835,n21,I
n842,n21,I
n853,n21,I
n854,n21,I
n877,n21,I
n905,n21,I
n908,n21,I
n927,n21,P
n962,n21,I
n966,n21,I
n973,n21,I
n999,n21,P
n1023,n21,I
n1027,n21,I
n1057,n21,I
n1059,n21,I
n1061,n21,I
n1085,n21,I
n1099,n21,I
n1150,n21,I
n1153,n21,I
n1178,n21,I
n1184,n21,I
n1194,n21,I
n1202,n21,I
n1206,n21,I
n1232,n21,I
n1239,n21,I
n1259,n21,I
